"189","38","uploads/38/Emailprov3.png","3"
"181","37","uploads/37/Twostepver1.png","1"
"182","37","uploads/37/Twostepver2.png","2"
"183","37","uploads/37/Twostepver3.png","3"
"184","37","uploads/37/Twostepver4.png","4"
"185","37","uploads/37/Twostepver5.png","5"
"186","37","uploads/37/Twostepver6.png","6"
"187","38","uploads/38/Emailprov1.png","1"
"188","38","uploads/38/Emailprov2.png","2"
"180","36","uploads/36/Surefireways6.png","6"
"179","36","uploads/36/Surefireways5.png","5"
"321","59","uploads/59/spoofing prevention1.gif","3"
"320","59","uploads/59/spoofing prevention 4.gif","4"
"319","59","uploads/59/spoofing prevention 3.gif","3"
"318","58","uploads/58/hacking prevention1.gif","1"
"178","36","uploads/36/Surefireways4.png","4"
"317","58","uploads/58/Hacking prevention 5.gif","5"
"177","36","uploads/36/Surefireways3.png","3"
"176","36","uploads/36/Surefireways2.png","2"
"175","36","uploads/36/Surefireways1.png","1"
"316","58","uploads/58/Hacking Prevention 4.gif","4"
"315","58","uploads/58/hacking prevention 3.gif","3"
"314","58","uploads/58/hacking prevention 2.gif","2"
"329","60","uploads/60/Hacking 7.gif","7"
"328","60","uploads/60/Hacking 6.gif","6"
"327","60","uploads/60/hacking 5.gif","5"
"326","60","uploads/60/hacking 4.gif","4"
"325","60","uploads/60/Hacking 3.gif","3"
"324","60","uploads/60/Hacking 2.gif","2"
"323","60","uploads/60/Hacking 1.gif","1"
"305","56","uploads/56/spoofing2.gif","5"
"306","56","uploads/56/spoofing3.gif","3"
"304","56","uploads/56/spoofing1.gif","4"
"303","56","uploads/56/Spoofing 6.gif","3"
"302","56","uploads/56/spoofing 5.gif","2"
"301","56","uploads/56/spoofing 4.gif","4"
"119","24","uploads/24/1.jpg","2"
"120","24","uploads/24/2.jpg","3"
"121","24","uploads/24/3.jpg","4"
"122","24","uploads/24/misinformation.jpg","1"
"123","25","uploads/25/1.jpg","2"
"124","25","uploads/25/2.jpg","2"
"125","25","uploads/25/3.jpg","3"
"126","25","uploads/25/Disinformation.jpg","1"
"127","26","uploads/26/1.jpg","2"
"128","26","uploads/26/2.jpg","2"
"129","26","uploads/26/3.jpg","3"
"130","26","uploads/26/Fake news.jpg","1"
"198","39","uploads/39/5.png","5"
"197","39","uploads/39/4.png","4"
"196","39","uploads/39/3.png","3"
"195","39","uploads/39/2.png","2"
"194","39","uploads/39/1.png","1"
"193","38","uploads/38/Emailprov7.png","7"
"192","38","uploads/38/Emailprov6.png","6"
"191","38","uploads/38/Emailprov5.png","5"
"190","38","uploads/38/Emailprov4.png","4"
